date,revenue,campaign,source,click_count
2023-04-01 14:00:00,34.0,10516,Lead Current,0.0
2023-04-01 14:00:00,142.62,54103,Lead Current,0.0
2023-04-01 14:00:00,87.34,54772,Lead Current,0.0
2023-04-01 14:00:00,110.97,54901,Lead Current,0.0
2023-04-01 14:00:00,34.0,8040,Lead Current,0.0
2023-04-01 14:00:00,28.0,paidsearch,Lead Current,0.0
2023-04-01 15:00:00,43.0,Unknown,Education Dynamics,0.0
2023-04-01 15:00:00,30.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 15:00:00,6.0,Unknown,Clicks.net,3.0
2023-04-01 15:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 15:00:00,33.52,Unknown,Lead Current,0.0
2023-04-01 15:00:00,32.0,10369,Lead Current,0.0
2023-04-01 15:00:00,109.82,54102,Lead Current,0.0
2023-04-01 15:00:00,35.99,54103,Lead Current,0.0
2023-04-01 15:00:00,80.75,54663,Lead Current,0.0
2023-04-01 15:00:00,100.72,54901,Lead Current,0.0
2023-04-01 15:00:00,23.9,55011,Lead Current,0.0
2023-04-01 15:00:00,34.0,directnav,Lead Current,0.0
2023-04-01 15:00:00,396.83,paidsearch,Lead Current,0.0
2023-04-01 15:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-04-01 16:00:00,45.0,Unknown,Education Dynamics,0.0
2023-04-01 16:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 16:00:00,12.0,Unknown,Clicks.net,6.0
2023-04-01 16:00:00,8.0,17636347892,Clicks.net,4.0
2023-04-01 16:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-01 16:00:00,34.0,10312,Lead Current,0.0
2023-04-01 16:00:00,34.0,54001,Lead Current,0.0
2023-04-01 16:00:00,141.45,54102,Lead Current,0.0
2023-04-01 16:00:00,170.94,54103,Lead Current,0.0
2023-04-01 16:00:00,36.54,54772,Lead Current,0.0
2023-04-01 16:00:00,32.65,55011,Lead Current,0.0
2023-04-01 16:00:00,74.0,8040,Lead Current,0.0
2023-04-01 16:00:00,40.0,directnav,Lead Current,0.0
2023-04-01 16:00:00,45.0,paidsearch,Lead Current,0.0
2023-04-01 17:00:00,83.0,Unknown,Education Dynamics,0.0
2023-04-01 17:00:00,300.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 17:00:00,12.0,Unknown,Clicks.net,6.0
2023-04-01 17:00:00,34.0,10521,Lead Current,0.0
2023-04-01 17:00:00,64.35,54102,Lead Current,0.0
2023-04-01 17:00:00,19.0,54103,Lead Current,0.0
2023-04-01 17:00:00,89.86,54901,Lead Current,0.0
2023-04-01 17:00:00,134.12,paidsearch,Lead Current,0.0
2023-04-01 17:00:00,2.0,18463616520.0,My Ad Optimizer,1.0
2023-04-01 18:00:00,19.0,Unknown,Education Dynamics,0.0
2023-04-01 18:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 18:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-01 18:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 18:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-01 18:00:00,33.0,Unknown,Lead Current,0.0
2023-04-01 18:00:00,34.0,10312,Lead Current,0.0
2023-04-01 18:00:00,93.85,54001,Lead Current,0.0
2023-04-01 18:00:00,67.0,54102,Lead Current,0.0
2023-04-01 18:00:00,543.79,54103,Lead Current,0.0
2023-04-01 18:00:00,24.6,54663,Lead Current,0.0
2023-04-01 18:00:00,34.0,8040,Lead Current,0.0
2023-04-01 18:00:00,134.57,paidsearch,Lead Current,0.0
2023-04-01 18:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-04-01 19:00:00,120.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 19:00:00,32.0,10312,Lead Current,0.0
2023-04-01 19:00:00,119.99,54001,Lead Current,0.0
2023-04-01 19:00:00,122.67,54103,Lead Current,0.0
2023-04-01 19:00:00,63.0,54772,Lead Current,0.0
2023-04-01 19:00:00,63.42,54901,Lead Current,0.0
2023-04-01 19:00:00,26.25,directnav,Lead Current,0.0
2023-04-01 19:00:00,34.75,paidsearch,Lead Current,0.0
2023-04-01 20:00:00,50.0,Unknown,Education Dynamics,0.0
2023-04-01 20:00:00,60.0,Unknown,Southern New Hampshire University,0.0
