date,click_count,revenue,campaign
2023-04-09 03:00:00,1,2,17636347892
2023-04-08 20:00:00,1,2,17636347892
2023-04-08 17:00:00,1,2,17636347892
2023-04-08 14:00:00,1,2,
2023-04-08 13:00:00,3,6,
2023-04-08 12:00:00,2,4,
2023-04-08 10:00:00,2,4,
2023-04-08 08:00:00,2,4,
2023-04-08 01:00:00,2,4,17636347892
2023-04-08 00:00:00,1,2,17636347892
2023-04-07 21:00:00,2,4,17636347892
2023-04-07 19:00:00,1,2,17636347892
2023-04-07 11:00:00,1,2,17636347892
2023-04-07 07:00:00,1,2,17636347892
2023-04-07 05:00:00,4,8,17636347892
2023-04-07 00:00:00,3,6,17636347892
2023-04-06 23:00:00,2,4,17636347892
2023-04-06 20:00:00,2,4,17636347892
2023-04-06 19:00:00,1,2,17636347892
2023-04-06 15:00:00,1,2,17636347892
2023-04-06 02:00:00,2,4,17636347892
2023-04-06 01:00:00,3,6,17636347892
2023-04-05 20:00:00,2,4,18463616520
2023-04-05 19:00:00,1,2,17636347892
2023-04-05 14:00:00,1,2,17636347892
2023-04-05 12:00:00,1,2,17636347892
2023-04-05 11:00:00,2,4,18463616520
2023-04-05 10:00:00,1,2,18463616520
2023-04-05 07:00:00,1,2,
2023-04-05 03:00:00,2,4,17636347892
2023-04-05 02:00:00,1,2,17636347892
2023-04-05 01:00:00,1,2,17636347892
2023-04-04 22:00:00,1,2,18463616520
2023-04-04 20:00:00,1,2,17636347892
2023-04-04 16:00:00,2,4,17636347892
2023-04-04 15:00:00,1,2,17636347892
2023-04-04 11:00:00,2,4,18463616520
2023-04-04 09:00:00,3,6,17636347892
2023-04-04 08:00:00,2,4,
2023-04-04 05:00:00,4,8,
2023-04-04 04:00:00,2,4,
2023-04-03 13:00:00,1,2,18463616520
2023-04-03 03:00:00,1,2,17636347892
2023-04-03 02:00:00,2,4,
2023-04-03 00:00:00,3,6,
2023-04-02 22:00:00,1,2,17636347892
2023-04-02 20:00:00,1,2,17688909278
2023-04-02 19:00:00,1,2,17688909278
2023-04-02 17:00:00,2,4,17636347892
2023-04-02 15:00:00,2,4,17636347892
2023-04-02 14:00:00,2,4,
2023-04-02 11:00:00,1,2,17636347892
2023-04-02 08:00:00,1,2,
2023-04-02 07:00:00,1,2,18463616520
2023-04-02 03:00:00,2,4,
2023-04-02 01:00:00,1,2,
2023-04-02 00:00:00,1,2,
2023-04-01 18:00:00,1,2,
2023-04-01 17:00:00,1,2,18463616520
2023-04-01 15:00:00,1,2,
2023-04-01 09:00:00,1,2,17636347892
2023-04-01 03:00:00,1,2,17636347892
2023-04-01 01:00:00,1,2,
2023-03-31 08:00:00,1,2,
2023-03-31 07:00:00,5,10,
2023-03-31 04:00:00,3,6,17636347892
2023-03-31 03:00:00,2,4,
2023-03-31 02:00:00,1,2,
2023-03-31 00:00:00,1,2,17636347892
